class,support,PN_P,PN_R,PN_F1,BF_P,BF_R,BF_F1,F1_delta_PN_minus_BF,subtype_mcnemar_chi2,subtype_mcnemar_p
anchors,8,1.0,0.875,0.9333333333333333,0.75,0.75,0.75,0.18333333333333335,0.0,1.0
keys,8,1.0,1.0,1.0,0.7,0.875,0.7777777777777777,0.22222222222222232,0.0,1.0
nails,5,1.0,0.8,0.888888888888889,1.0,1.0,1.0,-0.11111111111111105,0.0,1.0
non_fastener,269,0.9916666666666667,0.8847583643122676,0.9351669941060904,0.9529411764705882,0.9033457249070632,0.9274809160305343,0.007686078075556102,,
nuts,51,0.9444444444444444,1.0,0.9714285714285714,0.9591836734693877,0.9215686274509803,0.9400000000000001,0.03142857142857136,2.25,0.13361440253771617
pins,24,0.6,1.0,0.7499999999999999,0.6052631578947368,0.9583333333333334,0.7419354838709677,0.00806451612903214,0.0,1.0
retaining-rings,18,1.0,1.0,1.0,0.9473684210526315,1.0,0.972972972972973,0.027027027027026973,0.0,1.0
rivets,37,0.9736842105263158,1.0,0.9866666666666666,0.9,0.972972972972973,0.935064935064935,0.05160173160173154,0.0,1.0
screws,85,0.9545454545454546,0.9882352941176471,0.9710982658959537,0.8902439024390244,0.8588235294117647,0.874251497005988,0.09684676888996568,9.090909090909092,0.0025688315270227173
spacers,7,1.0,0.8571428571428571,0.923076923076923,0.6666666666666666,0.8571428571428571,0.75,0.17307692307692302,0.5,0.4795001221869534
threaded-inserts,10,0.7272727272727273,0.8,0.761904761904762,0.6666666666666666,0.6,0.631578947368421,0.13032581453634096,0.25,0.6170750774519738
threaded-rods,6,0.42857142857142855,1.0,0.6,1.0,1.0,1.0,-0.4,0.0,1.0
washers,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9285714285714286,0.8666666666666667,0.896551724137931,0.0367816091954023,0.5,0.4795001221869534
